name,salary_from,salary_to,salary_currency,area_name,published_at
Инженер по безопасности дорожного движения,,,,Циолковский,2022-12-16T05:18:34+0300
Токарь,45000.0,50000.0,RUR,Ижевск,2022-12-16T06:36:48+0300
Оператор лазерной установки с числовым программным управлением,70000.0,,RUR,Барнаул,2022-12-16T06:06:34+0300
Программист 1C,90000.0,130000.0,RUR,Новосибирск,2022-12-16T06:31:16+0300
Фрезеровщик,35000.0,90000.0,RUR,Каменск-Уральский,2022-12-16T05:27:49+0300
Инженер по безопасности дорожного движения,,,,Райчихинск,2022-12-16T05:18:34+0300
Дизайнер-декоратор,30000.0,80000.0,RUR,Уфа,2022-12-16T05:09:14+0300
Инженер по безопасности дорожного движения,,,,Сковородино,2022-12-16T05:18:34+0300
Токарь-универсал (Дзержинский район),55000.0,,RUR,Новосибирск,2022-12-16T05:42:39+0300
Инженер по обслуживанию,55000.0,100000.0,RUR,Владивосток,2022-12-16T06:57:55+0300
Системный администратор,50000.0,,RUR,Красноярск,2022-12-16T06:47:30+0300
Механик,125000.0,125000.0,RUR,Красноярск,2022-12-16T05:27:32+0300
Программист (Разработчик) .NET,,,,Красноярск,2022-12-16T06:35:49+0300
Инженер,25000.0,,RUR,Нефтекамск,2022-12-16T06:18:49+0300
Инженер по безопасности дорожного движения,,,,Магдагачи,2022-12-16T05:18:34+0300
Токарь-фрезеровщик,60000.0,60000.0,RUR,Кемерово,2022-12-16T06:12:55+0300
Интегратор Битрикс24,,70000.0,RUR,Новокузнецк,2022-12-16T04:27:59+0300
Инженер по безопасности дорожного движения,,,,Бурея (Амурская область),2022-12-16T05:18:34+0300
Мастер слесарного цеха (автосервис),50000.0,,RUR,Тюмень,2022-12-16T06:54:15+0300
Токарь,60000.0,,RUR,Томск,2022-12-16T05:04:18+0300
Механик по транспорту,80000.0,,RUR,Красноярск,2022-12-16T05:27:39+0300
Инженер развития инфраструктуры,,,,Новосибирск,2022-12-16T05:17:04+0300
Инженер по безопасности дорожного движения,,,,Архара,2022-12-16T05:18:34+0300
Бизнес-аналитик,70000.0,,RUR,Владивосток,2022-12-16T05:20:27+0300
Программист C++,80000.0,,RUR,Барнаул,2022-12-16T05:56:53+0300
Системный инженер (Академгородок),120000.0,,RUR,Новосибирск,2022-12-16T06:03:31+0300
Junior PHP Developer,,,,Новосибирск,2022-12-16T06:18:52+0300
Разработчик Oracle,,,,Красноярск,2022-12-16T06:35:49+0300
Оператор станков с ЧПУ,40000.0,50000.0,RUR,Омск,2022-12-16T06:40:02+0300
Ведущий инженер - электроник (г.Усть-Илимск),80000.0,100000.0,RUR,Красноярск,2022-12-16T05:24:24+0300
Инженер по безопасности дорожного движения,,,,Благовещенск (Амурская область),2022-12-16T05:18:34+0300
Механик по ремонту оборудования,40000.0,45000.0,RUR,Иркутск,2022-12-16T05:50:13+0300
Программист 1С,,,,Артем,2022-12-16T05:59:58+0300
Системный аналитик 1С в девелоперскую компанию,230000.0,,RUR,Москва,2022-12-16T06:28:47+0300
Системный администратор,,,,Новосибирск,2022-12-16T05:01:19+0300
Бизнес-аналитик,,,,Алматы,2022-12-16T06:45:45+0300
React-разработчик | React Developer в проектный офис,,,,Москва,2022-12-16T06:18:44+0300
Специалист по информационной безопасности,30000.0,38000.0,RUR,Березники,2022-12-16T06:33:37+0300
Инженер-электроник,,,,Новосибирск,2022-12-16T06:14:53+0300
Корреспондент CHITA.RU,40000.0,,RUR,Чита,2022-12-16T05:22:28+0300
Токарь-карусельщик,47500.0,53900.0,RUR,Курган,2022-12-16T06:19:42+0300
Менеджер по сдаче спецтехники в аренду,50000.0,120000.0,RUR,Красноярск,2022-12-16T05:02:27+0300
Java программист / Java developer,,,,Новосибирск,2022-12-16T04:46:42+0300
Механик по техническому обслуживанию и ремонту карьерной техники (Новосибирская обл.),63000.0,65000.0,RUR,Новокузнецк,2022-12-16T06:57:27+0300
Токарь,39500.0,52700.0,RUR,Курган,2022-12-16T06:19:38+0300
Бизнес-аналитик,100000.0,,RUR,Томск,2022-12-16T05:49:37+0300
Системный администратор,,,,Туркестан,2022-12-16T06:57:57+0300
